交易日,投资者帐号,可用资金,期货结算准备金,经纪公司代码,资金差额,平仓盈亏,手续费,信用额度,当前保证金总额,投资者交割保证金,入金金额,交易所交割保证金,交易所保证金,冻结的资金,冻结的手续费,冻结的保证金,利息收入,利息基数,质押金额,持仓盈亏,上次结算准备金,上次信用额度,上次存款额,上次占用的保证金,上次质押金额,基本准备金,结算编号,出金金额,可取资金
20161118,031116,841928.40535,841928.40535,9999,0,-870,8.79465,0,0,0,0,0,0,0,0,0,0,0,0,0,842807.2,0,840131.2,2676,0,0,1,0,589349.883745
20161122,031116,827328.48,842871.48,9999,0,0,0,0,15543,0,0,0,15543,0,0,0,0,0,0,0,842871.48,0,827328.48,15543,0,0,1,0,579129.936
20161122,031116,838032.4062,845750.4062,9999,0,2080,11.0738,0,4828,0,0,0,4828,0,0,0,0,0,0,810,842871.48,0,827328.48,15543,0,0,1,0,588645.68434
20161122,031116,839447.4062,846228.9062,9999,0,2800,12.5738,0,3411.5,0,0,0,3411.5,0,0,0,0,0,0,570,842871.48,0,827328.48,15543,0,0,1,0,589972.18434
20161122,031116,839447.4062,846118.9062,9999,0,2800,12.5738,0,3411.5,0,0,0,3411.5,0,0,0,0,0,0,460,842871.48,0,827328.48,15543,0,0,1,0,589895.18434
20161122,031116,822858.81205,846208.51205,9999,0,2275,57.96795,0,19954.7,0,0,0,19954.7,0,0,0,0,0,0,1120,842871.48,0,827328.48,15543,0,0,1,0,578377.668435
20161122,031116,825445.264625,847452.264625,9999,0,4775,194.215375,0,17232,0,0,0,17232,0,0,0,0,0,0,0,842871.48,0,827328.48,15543,0,0,1,0,581154.1852375
20161122,031116,842656.106125,847366.106125,9999,0,4710,215.373875,0,0,0,0,0,0,0,0,0,0,0,0,0,842871.48,0,827328.48,15543,0,0,1,0,593156.2742875
20161122,031116,834196.938575,846884.338575,9999,0,4565,232.141425,0,8122.4,0,0,0,8122.4,0,0,0,0,0,0,-320,842871.48,0,827328.48,15543,0,0,1,0,587133.3570025
20161122,901200953,1,1,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
20161122,031116,834456.938575,847144.338575,9999,0,4565,232.141425,0,8122.4,0,0,0,8122.4,0,0,0,0,0,0,-60,842871.48,0,827328.48,15543,0,0,1,0,587315.3570025
