09:22:59.718 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:22:59,毫秒数:990,平均价:561.325282529519,最新价与平均价距离:4.17471747048069,成交量:394826,交易日:20170405 
09:23:59.220 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:23:59,毫秒数:521,平均价:561.424336008348,最新价与平均价距离:5.07566399165194,成交量:402490,交易日:20170405 
09:24:59.719 DEBUG [7] 合约:i1709,最新价:567,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:24:59,毫秒数:983,平均价:561.503137088058,最新价与平均价距离:5.49686291194155,成交量:408978,交易日:20170405 
09:25:59.720 DEBUG [7] 合约:i1709,最新价:567,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:25:59,毫秒数:974,平均价:561.59506030187,最新价与平均价距离:5.40493969812951,成交量:415410,交易日:20170405 
09:26:59.721 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:26:59,毫秒数:903,平均价:561.645084481018,最新价与平均价距离:4.35491551898201,成交量:419976,交易日:20170405 
09:27:59.220 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:27:59,毫秒数:471,平均价:561.685809425505,最新价与平均价距离:3.81419057449489,成交量:424338,交易日:20170405 
09:28:59.221 DEBUG [7] 合约:i1709,最新价:567,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:28:59,毫秒数:491,平均价:561.769521941902,最新价与平均价距离:5.23047805809756,成交量:431412,交易日:20170405 
09:29:59.720 DEBUG [7] 合约:i1709,最新价:569,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:29:59,毫秒数:991,平均价:561.882216832602,最新价与平均价距离:7.11778316739776,成交量:439528,交易日:20170405 
09:30:59.221 DEBUG [7] 合约:i1709,最新价:567,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:30:59,毫秒数:432,平均价:561.961319499987,最新价与平均价距离:5.03868050001347,成交量:445108,交易日:20170405 
09:31:59.723 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:31:59,毫秒数:19,平均价:561.999649922403,最新价与平均价距离:4.50035007759686,成交量:448472,交易日:20170405 
09:33:00.221 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:32:59,毫秒数:979,平均价:562.03940064138,最新价与平均价距离:3.9605993586199,成交量:452150,交易日:20170405 
09:33:59.223 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:33:59,毫秒数:524,平均价:562.081922115667,最新价与平均价距离:3.41807788433334,成交量:456934,交易日:20170405 
09:34:59.724 DEBUG [7] 合约:i1709,最新价:566.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:34:59,毫秒数:524,平均价:562.106896086898,最新价与平均价距离:4.3931039131021,成交量:459942,交易日:20170405 
09:35:59.223 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:35:59,毫秒数:364,平均价:562.156549966316,最新价与平均价距离:3.34345003368423,成交量:466094,交易日:20170405 
09:36:59.224 DEBUG [7] 合约:i1709,最新价:565,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:36:59,毫秒数:470,平均价:562.194979928164,最新价与平均价距离:2.805020071836,成交量:473300,交易日:20170405 
09:37:59.724 DEBUG [7] 合约:i1709,最新价:563,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:37:59,毫秒数:996,平均价:562.224422093038,最新价与平均价距离:0.775577906962326,成交量:481998,交易日:20170405 
09:38:59.725 DEBUG [7] 合约:i1709,最新价:563.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:38:59,毫秒数:897,平均价:562.241903779056,最新价与平均价距离:1.25809622094448,成交量:488376,交易日:20170405 
09:39:59.231 DEBUG [7] 合约:i1709,最新价:562.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:39:59,毫秒数:475,平均价:562.256310267451,最新价与平均价距离:0.243689732549001,成交量:494670,交易日:20170405 
09:40:59.729 DEBUG [7] 合约:i1709,最新价:564,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:40:59,毫秒数:993,平均价:562.276704289658,最新价与平均价距离:1.72329571034152,成交量:501998,交易日:20170405 
09:41:59.726 DEBUG [7] 合约:i1709,最新价:564,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:41:59,毫秒数:868,平均价:562.294361980348,最新价与平均价距离:1.70563801965204,成交量:507022,交易日:20170405 
09:43:00.231 DEBUG [7] 合约:i1709,最新价:564,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:42:59,毫秒数:292,平均价:562.304905342374,最新价与平均价距离:1.69509465762553,成交量:510260,交易日:20170405 
09:44:00.229 DEBUG [7] 合约:i1709,最新价:564.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:43:59,毫秒数:933,平均价:562.314900713924,最新价与平均价距离:2.18509928607648,成交量:512660,交易日:20170405 
09:44:59.728 DEBUG [7] 合约:i1709,最新价:565,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:44:59,毫秒数:840,平均价:562.341602560395,最新价与平均价距离:2.65839743960521,成交量:518670,交易日:20170405 
09:46:00.229 DEBUG [7] 合约:i1709,最新价:565,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:45:59,毫秒数:435,平均价:562.377130200279,最新价与平均价距离:2.62286979972112,成交量:525068,交易日:20170405 
09:46:59.231 DEBUG [7] 合约:i1709,最新价:564,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:46:55,毫秒数:864,平均价:562.397199439359,最新价与平均价距离:1.60280056064107,成交量:529394,交易日:20170405 
09:47:59.232 DEBUG [7] 合约:i1709,最新价:564,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:47:58,毫秒数:845,平均价:562.405817513087,最新价与平均价距离:1.59418248691259,成交量:531808,交易日:20170405 
09:49:00.232 DEBUG [7] 合约:i1709,最新价:564.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:48:59,毫秒数:522,平均价:562.411488704672,最新价与平均价距离:2.08851129532752,成交量:533672,交易日:20170405 
09:49:59.231 DEBUG [7] 合约:i1709,最新价:564.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:49:59,毫秒数:431,平均价:562.419329786241,最新价与平均价距离:2.08067021375905,成交量:535650,交易日:20170405 
09:50:59.731 DEBUG [7] 合约:i1709,最新价:566,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:50:59,毫秒数:972,平均价:562.483746010785,最新价与平均价距离:3.51625398921533,成交量:545220,交易日:20170405 
09:51:59.731 DEBUG [7] 合约:i1709,最新价:565.5,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:51:59,毫秒数:982,平均价:562.503031230975,最新价与平均价距离:2.99696876902499,成交量:548622,交易日:20170405 
09:53:00.233 DEBUG [7] 合约:i1709,最新价:564,开盘价:556,昨结价:556,昨收价:552,最高价:570,最低价:552.5,涨停价:606,跌停价:506,更新时间:09:52:59,毫秒数:773,平均价:562.520232122719,最新价与平均价距离:1.47976787728078,成交量:553328,交易日:20170405 
