10:58:41.292 DEBUG [14] 合约:i1709,最新价:585.5,开盘价:580,昨结价:592,昨收价:577,最高价:590.5,最低价:577,涨停价:639,跌停价:545,更新时间:11:45:59,毫秒数:0,平均价:584.503400686741,最新价与平均价距离:0.996599313259367,成交量:848064,交易日:20170323 
20:51:43.561 DEBUG [14] 合约:i1709,最新价:580,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:38:59,毫秒数:500,平均价:580.473370597129,最新价与平均价距离:-0.473370597128678,成交量:1519974,交易日:20170324 
20:52:43.567 DEBUG [14] 合约:i1709,最新价:580,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:39:59,毫秒数:500,平均价:580.472792410767,最新价与平均价距离:-0.472792410767056,成交量:1521524,交易日:20170324 
20:53:43.568 DEBUG [14] 合约:i1709,最新价:578,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:40:59,毫秒数:500,平均价:580.457569007972,最新价与平均价距离:-2.4575690079721,成交量:1531852,交易日:20170324 
20:54:43.548 DEBUG [14] 合约:i1709,最新价:577.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:41:59,毫秒数:500,平均价:580.437437280848,最新价与平均价距离:-2.93743728084814,成交量:1540598,交易日:20170324 
20:55:44.063 DEBUG [14] 合约:i1709,最新价:576.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:42:59,毫秒数:500,平均价:580.425153399631,最新价与平均价距离:-3.92515339963074,成交量:1545962,交易日:20170324 
20:56:43.562 DEBUG [14] 合约:i1709,最新价:577.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:43:59,毫秒数:500,平均价:580.420462722412,最新价与平均价距离:-2.9204627224118,成交量:1548142,交易日:20170324 
20:57:43.570 DEBUG [14] 合约:i1709,最新价:578.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:44:59,毫秒数:500,平均价:580.415947628302,最新价与平均价距离:-1.91594762830175,成交量:1550914,交易日:20170324 
20:58:43.569 DEBUG [14] 合约:i1709,最新价:576,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:45:59,毫秒数:500,平均价:580.399202834367,最新价与平均价距离:-4.39920283436663,成交量:1558020,交易日:20170324 
20:59:43.574 DEBUG [14] 合约:i1709,最新价:577,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:46:59,毫秒数:500,平均价:580.385757702841,最新价与平均价距离:-3.38575770284126,成交量:1564228,交易日:20170324 
21:00:43.568 DEBUG [14] 合约:i1709,最新价:577.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:47:59,毫秒数:500,平均价:580.373373303263,最新价与平均价距离:-2.8733733032625,成交量:1570514,交易日:20170324 
21:01:43.571 DEBUG [14] 合约:i1709,最新价:578.5,开盘价:574,昨结价:584,昨收价:580.5,最高价:590,最低价:567.5,涨停价:630.5,跌停价:537.5,更新时间:21:48:59,毫秒数:500,平均价:580.369667418221,最新价与平均价距离:-1.86966741822084,成交量:1573628,交易日:20170324 
