20140508 0.211641	0	4068	946	4067	429	4067	43868	467462
20140508 0.211642	0	4068	946	4067	430	4067	43868	467462
20140508 0.211642	500	4068	951	4067	430	4067	43868	467462
20140508 0.211643	0	4068	952	4067	429	4067	43868	467462
20140508 0.211643	500	4068	953	4067	428	4067	43870	467462
20140508 0.211644	0	4068	953	4067	428	4067	43870	467462
20140508 0.211644	500	4068	963	4067	428	4067	43872	467462
20140508 0.211645	0	4068	963	4067	427	4067	43872	467462
20140508 0.211645	500	4068	966	4067	427	4067	43872	467462
20140508 0.211646	0	4068	966	4067	417	4067	43872	467462
20140508 0.211646	500	4068	966	4067	417	4067	43872	467462
20140508 0.211647	500	4068	966	4067	439	4067	43872	467462
20140508 0.211648	0	4068	959	4067	478	4067	43872	467462
20140508 0.211648	500	4068	959	4067	479	4067	43872	467462
20140508 0.211649	0	4068	959	4067	480	4067	43872	467462
20140508 0.211649	500	4068	948	4067	479	4067	43872	467462
20140508 0.21165	0	4068	961	4067	480	4067	43872	467462
20140508 0.21165	500	4068	961	4067	478	4067	43876	467458
20140508 0.211651	0	4068	971	4067	416	4068	43958	467418
20140508 0.211651	500	4068	971	4067	417	4068	43958	467418
20140508 0.211652	0	4068	960	4067	418	4068	43958	467418
20140508 0.211652	500	4068	960	4067	418	4068	43958	467418
20140508 0.211653	0	4068	960	4067	418	4068	43958	467418
20140508 0.211653	500	4068	961	4067	418	4068	43958	467418
20140508 0.211654	0	4068	962	4067	418	4068	43958	467418
20140508 0.211654	500	4068	973	4067	420	4068	43958	467418
20140508 0.211655	0	4068	975	4067	420	4068	43958	467418
20140508 0.211655	500	4068	984	4067	425	4068	43958	467418
20140508 0.211656	0	4068	984	4067	425	4068	43958	467418
20140508 0.211656	500	4068	984	4067	425	4068	43958	467418
20140508 0.211657	0	4068	984	4067	425	4068	43958	467418
20140508 0.211657	500	4068	985	4067	424	4067	43960	467418
20140508 0.211658	0	4068	985	4067	424	4067	43960	467418
20140508 0.211658	500	4068	975	4067	424	4067	43960	467418
20140508 0.211659	0	4068	973	4067	427	4067	43960	467418
20140508 0.211659	500	4068	973	4067	427	4067	43960	467418
20140508 0.2117	500	4068	973	4067	429	4067	43960	467418
20140508 0.211701	0	4068	973	4067	430	4067	43960	467418
20140508 0.211701	500	4068	973	4067	430	4067	43960	467418
20140508 0.211702	0	4068	975	4067	430	4067	43960	467418
20140508 0.211702	500	4068	974	4067	430	4067	43960	467418
20140508 0.211703	0	4068	973	4067	427	4067	43972	467424
20140508 0.211703	500	4068	974	4067	427	4067	43972	467424
20140508 0.211704	0	4068	975	4067	428	4067	43972	467424
20140508 0.211704	500	4068	992	4067	408	4067	43972	467424
20140508 0.211705	0	4068	996	4067	402	4067	43984	467434
20140508 0.211705	500	4068	997	4067	401	4067	43986	467436
20140508 0.211706	0	4068	997	4067	402	4067	43990	467440
20140508 0.211706	500	4068	997	4067	402	4067	43990	467440
20140508 0.211707	0	4068	996	4067	391	4067	44014	467444
20140508 0.211707	500	4068	996	4067	393	4067	44014	467444
20140508 0.211708	0	4068	996	4067	392	4067	44016	467444
20140508 0.211708	500	4068	996	4067	384	4067	44036	467444
20140508 0.211709	0	4068	996	4067	383	4067	44038	467444
20140508 0.211709	500	4068	996	4067	383	4067	44038	467444
20140508 0.21171	0	4068	996	4067	380	4067	44044	467444
20140508 0.21171	500	4068	996	4067	379	4067	44046	467444
20140508 0.211711	500	4068	996	4067	376	4067	44052	467444
20140508 0.211712	0	4068	995	4067	374	4067	44058	467444
20140508 0.211712	500	4068	995	4067	373	4067	44060	467444
20140508 0.211713	0	4068	995	4067	373	4067	44060	467444
20140508 0.211713	500	4068	995	4067	373	4067	44060	467444
20140508 0.211714	0	4068	1047	4067	303	4067	44200	467428
20140508 0.211714	500	4068	1047	4067	235	4067	44336	467470
20140508 0.211715	0	4068	1043	4067	238	4067	44358	467472
20140508 0.211715	500	4068	1043	4067	229	4067	44376	467468
20140508 0.211716	0	4068	1040	4067	225	4067	44384	467464
20140508 0.211716	500	4068	1041	4067	223	4067	44390	467466
20140508 0.211717	0	4068	1041	4067	223	4068	44394	467466
20140508 0.211717	500	4068	1050	4067	223	4068	44396	467466
20140508 0.211718	0	4068	1050	4067	222	4067	44398	467468
20140508 0.211718	500	4068	1050	4067	221	4067	44402	467470
20140508 0.211719	0	4068	1050	4067	221	4067	44402	467470
20140508 0.211719	500	4068	1050	4067	220	4067	44402	467470
20140508 0.21172	0	4068	1050	4067	219	4067	44404	467470
20140508 0.21172	500	4068	1050	4067	217	4067	44406	467470
20140508 0.211721	0	4068	1051	4067	217	4067	44406	467470
20140508 0.211721	500	4068	1051	4067	206	4067	44428	467488
20140508 0.211722	0	4068	1050	4067	205	4067	44430	467490
20140508 0.211722	500	4068	1048	4067	206	4067	44434	467494
20140508 0.211723	0	4068	1048	4067	162	4067	44434	467494
20140508 0.211723	500	4068	1048	4067	159	4067	44440	467494
20140508 0.211724	0	4068	1048	4067	176	4067	44466	467520
20140508 0.211724	500	4068	1048	4067	175	4067	44468	467522
20140508 0.211725	0	4068	1048	4067	175	4067	44468	467522
20140508 0.211725	500	4068	1048	4067	122	4067	44578	467594
20140508 0.211726	0	4068	1050	4067	122	4067	44578	467594
20140508 0.211726	500	4068	1050	4067	56	4068	44684	467682
20140508 0.211727	0	4067	119	4066	1099	4066	44858	467746
20140508 0.211727	500	4067	139	4066	1095	4066	44864	467748
20140508 0.211728	0	4067	147	4066	1075	4066	44864	467748
20140508 0.211728	500	4067	147	4066	1085	4067	44866	467748
20140508 0.211729	0	4067	146	4066	1130	4067	44868	467750
20140508 0.211729	500	4067	128	4066	1130	4067	44904	467784
20140508 0.21173	0	4067	139	4066	1130	4067	44906	467784
20140508 0.21173	500	4067	148	4066	1130	4067	44906	467784
20140508 0.211731	0	4067	147	4066	1130	4067	44906	467784
20140508 0.211731	500	4067	147	4066	1129	4066	44908	467786
20140508 0.211732	0	4067	144	4066	1129	4067	44914	467790
20140508 0.211732	500	4067	145	4066	1129	4067	44914	467790
20140508 0.211733	0	4067	144	4066	1129	4067	44914	467790
20140508 0.211733	500	4067	145	4066	1129	4066	44916	467790
20140508 0.211734	0	4067	179	4066	1130	4066	44916	467790
20140508 0.211734	500	4067	201	4066	1130	4067	44936	467810
20140508 0.211735	0	4067	200	4066	1129	4066	44946	467812
20140508 0.211735	500	4067	230	4066	1129	4066	44946	467812
20140508 0.211736	0	4067	230	4066	1129	4066	44946	467812
20140508 0.211736	500	4067	230	4066	1133	4067	44954	467820
20140508 0.211737	0	4067	305	4066	1121	4067	44954	467820
20140508 0.211737	500	4067	303	4066	1121	4067	44956	467820
20140508 0.211738	0	4067	302	4066	1122	4067	44956	467820
20140508 0.211832	0	4067	747	4066	333	4066	49462	468808
20140508 0.211832	500	4067	747	4066	321	4066	49494	468778
20140508 0.211856	0	4066	164	4065	1438	4066	50964	468928
20140508 0.211856	500	4066	180	4065	1438	4066	50966	468930
20140508 0.211857	0	4066	199	4065	1319	4066	50966	468930
20140508 0.211857	500	4066	202	4065	1320	4066	50966	468930
20140508 0.211858	0	4066	222	4065	1320	4065	50968	468932
20140508 0.211858	500	4066	210	4065	1319	4066	51010	468970
20140508 0.211859	0	4066	209	4065	1320	4066	51010	468970
20140508 0.211859	500	4066	211	4065	1320	4066	51010	468970
20140508 0.2119	0	4066	218	4065	1319	4065	51012	468972
20140508 0.2119	500	4066	87	4065	1329	4066	51262	468972
20140508 0.211901	0	4066	93	4065	1130	4066	51664	469306
20140508 0.211901	500	4066	154	4065	1078	4066	51668	469308
20140508 0.211902	0	4066	299	4065	1088	4066	51668	469308
20140508 0.211902	500	4066	245	4065	1083	4066	51674	469314
20140508 0.211903	0	4066	335	4065	1077	4065	51684	469322
20140508 0.211903	500	4066	290	4065	1073	4065	51684	469322
20140508 0.211904	0	4066	304	4065	1061	4065	51710	469346
20140508 0.211904	500	4066	303	4065	1059	4065	51716	469350
20140508 0.211905	0	4066	306	4065	1063	4065	51718	469352
20140508 0.211905	500	4066	305	4065	1074	4066	51722	469352
20140508 0.211906	0	4066	304	4065	1023	4066	51724	469354
20140508 0.211906	500	4066	306	4065	1022	4066	51724	469354
20140508 0.211907	0	4066	310	4065	1021	4065	51726	469354
20140508 0.211907	500	4066	312	4065	1022	4066	51728	469356
20140508 0.211908	0	4066	371	4065	1024	4066	51728	469356
20140508 0.211908	500	4066	344	4065	1022	4065	51814	469432
20140508 0.211909	0	4066	375	4065	1004	4066	51856	469474
20140508 0.211909	500	4066	316	4065	1005	4066	51856	469474
20140508 0.21191	0	4066	356	4065	1042	4065	51858	469474
20140508 0.21191	500	4066	351	4065	1029	4065	51860	469476
20140508 0.211911	0	4066	351	4065	1030	4065	51860	469476
20140508 0.211911	500	4066	351	4065	1035	4065	51860	469476
20140508 0.211912	0	4066	372	4065	1046	4065	51860	469476
20140508 0.211912	500	4066	365	4065	1044	4066	51884	469476
20140508 0.211913	0	4066	310	4065	1045	4066	52060	469460
20140508 0.211913	500	4066	301	4065	1050	4066	52092	469460
20140508 0.211914	0	4066	306	4065	1046	4065	52100	469464
20140508 0.211914	500	4066	308	4065	1046	4065	52100	469464
20140508 0.211915	0	4066	310	4065	1038	4065	52120	469480
20140508 0.211915	500	4066	319	4065	1039	4065	52120	469480
20140508 0.211916	0	4066	321	4065	1037	4065	52124	469484
20140508 0.211916	500	4066	326	4065	1039	4065	52128	469488
20140508 0.211917	0	4066	326	4065	1042	4065	52128	469488
20140508 0.211917	500	4066	332	4065	1042	4066	52130	469490
20140508 0.211918	0	4066	336	4065	819	4065	52132	469492
20140508 0.211918	500	4066	336	4065	819	4065	52134	469494
20140508 0.211919	0	4066	355	4065	657	4065	52456	469776
20140508 0.211919	500	4066	363	4065	647	4065	52480	469782
20140508 0.21192	0	4066	366	4065	478	4065	52838	469748
20140508 0.21192	500	4066	438	4065	390	4065	53056	469752
20140508 0.211921	0	4066	392	4065	391	4065	53494	470038
20140508 0.211921	500	4066	412	4065	396	4066	53518	470038
20140508 0.211922	0	4066	418	4065	462	4065	53524	470042
20140508 0.211922	500	4066	401	4065	471	4066	53580	470082
20140508 0.211923	0	4066	444	4065	370	4065	53728	470066
20140508 0.211923	500	4066	462	4065	345	4065	53758	470068
