09:21:03.014 DEBUG [7] 合约:m1705,最新价:2886,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:20:59,毫秒数:348,平均价:2890.59616161704,最新价与平均价距离:-4.59616161703934,成交量:460298,交易日:20170310 
09:22:02.013 DEBUG [7] 合约:m1705,最新价:2888,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:21:59,毫秒数:239,平均价:2890.58127430918,最新价与平均价距离:-2.58127430917602,成交量:462274,交易日:20170310 
09:23:04.417 DEBUG [7] 合约:m1705,最新价:2888,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:22:59,毫秒数:350,平均价:2890.57499794881,最新价与平均价距离:-2.57499794881096,成交量:463146,交易日:20170310 
09:24:01.514 DEBUG [7] 合约:m1705,最新价:2887,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:23:58,毫秒数:850,平均价:2890.56789830874,最新价与平均价距离:-3.5678983087364,成交量:464150,交易日:20170310 
09:25:01.629 DEBUG [7] 合约:m1705,最新价:2887,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:24:56,毫秒数:785,平均价:2890.56132012577,最新价与平均价距离:-3.561320125767,成交量:464986,交易日:20170310 
09:26:01.517 DEBUG [7] 合约:m1705,最新价:2884,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:25:59,毫秒数:889,平均价:2890.50370922409,最新价与平均价距离:-6.50370922408638,成交量:469640,交易日:20170310 
09:27:01.626 DEBUG [7] 合约:m1705,最新价:2881,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:26:59,毫秒数:887,平均价:2890.38204343451,最新价与平均价距离:-9.38204343451298,成交量:477040,交易日:20170310 
09:28:01.515 DEBUG [7] 合约:m1705,最新价:2883,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2881,涨停价:3042,跌停价:2754,更新时间:09:27:59,毫秒数:847,平均价:2890.3134326497,最新价与平均价距离:-7.31343264970201,成交量:481156,交易日:20170310 
09:29:01.519 DEBUG [7] 合约:m1705,最新价:2878,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2878,涨停价:3042,跌停价:2754,更新时间:09:28:59,毫秒数:877,平均价:2890.03869743581,最新价与平均价距离:-12.0386974358144,成交量:494348,交易日:20170310 
09:30:01.513 DEBUG [7] 合约:m1705,最新价:2875,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2875,涨停价:3042,跌停价:2754,更新时间:09:29:59,毫秒数:878,平均价:2889.71045030541,最新价与平均价距离:-14.710450305412,成交量:506856,交易日:20170310 
09:31:01.516 DEBUG [7] 合约:m1705,最新价:2876,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:30:59,毫秒数:855,平均价:2889.30329270818,最新价与平均价距离:-13.3032927081813,成交量:521516,交易日:20170310 
09:32:01.913 DEBUG [7] 合约:m1705,最新价:2877,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:31:59,毫秒数:831,平均价:2889.17809019675,最新价与平均价距离:-12.1780901967481,成交量:527070,交易日:20170310 
09:33:02.515 DEBUG [7] 合约:m1705,最新价:2877,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:32:58,毫秒数:615,平均价:2889.12659131874,最新价与平均价距离:-12.1265913187399,成交量:529278,交易日:20170310 
09:34:03.014 DEBUG [7] 合约:m1705,最新价:2877,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:33:59,毫秒数:886,平均价:2889.06027158303,最新价与平均价距离:-12.0602715830314,成交量:531992,交易日:20170310 
09:35:01.513 DEBUG [7] 合约:m1705,最新价:2875,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:34:59,毫秒数:877,平均价:2888.99591166503,最新价与平均价距离:-13.9959116650334,成交量:534692,交易日:20170310 
09:36:01.916 DEBUG [7] 合约:m1705,最新价:2876,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:35:59,毫秒数:848,平均价:2888.89112309228,最新价与平均价距离:-12.8911230922795,成交量:538994,交易日:20170310 
09:37:03.512 DEBUG [7] 合约:m1705,最新价:2877,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:36:59,毫秒数:862,平均价:2888.85491102808,最新价与平均价距离:-11.8549110280792,成交量:540620,交易日:20170310 
09:38:03.515 DEBUG [7] 合约:m1705,最新价:2878,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:37:59,毫秒数:343,平均价:2888.79643222629,最新价与平均价距离:-10.7964322262878,成交量:543308,交易日:20170310 
09:39:01.512 DEBUG [7] 合约:m1705,最新价:2879,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:38:59,毫秒数:853,平均价:2888.73653345633,最新价与平均价距离:-9.73653345633056,成交量:546354,交易日:20170310 
09:40:01.921 DEBUG [7] 合约:m1705,最新价:2882,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:39:59,毫秒数:853,平均价:2888.64785342247,最新价与平均价距离:-6.64785342247069,成交量:552554,交易日:20170310 
09:41:02.514 DEBUG [7] 合约:m1705,最新价:2879,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:40:59,毫秒数:851,平均价:2888.55748384762,最新价与平均价距离:-9.55748384761773,成交量:558122,交易日:20170310 
09:42:01.511 DEBUG [7] 合约:m1705,最新价:2876,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:41:59,毫秒数:871,平均价:2888.458216236,最新价与平均价距离:-12.4582162359975,成交量:562922,交易日:20170310 
09:43:01.909 DEBUG [7] 合约:m1705,最新价:2876,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2874,涨停价:3042,跌停价:2754,更新时间:09:42:59,毫秒数:338,平均价:2888.42123831114,最新价与平均价距离:-12.4212383111362,成交量:564640,交易日:20170310 
