09:00:12.467 DEBUG [7] 合约:i1709,最新价:501.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:501,涨停价:551,跌停价:470,更新时间:09:00:10,毫秒数:969,平均价:511.017787983686,最新价与平均价距离:-9.51778798368576,成交量:641894,交易日:20170417 
09:00:12.961 DEBUG [7] 合约:i1709,最新价:502,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:501,涨停价:551,跌停价:470,更新时间:09:00:11,毫秒数:463,平均价:511.011472474779,最新价与平均价距离:-9.01147247477894,成交量:642320,交易日:20170417 
09:00:13.468 DEBUG [7] 合约:i1709,最新价:502,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:501,涨停价:551,跌停价:470,更新时间:09:00:11,毫秒数:969,平均价:511.006438823398,最新价与平均价距离:-9.00643882339762,成交量:642664,交易日:20170417 
09:00:13.956 DEBUG [7] 合约:i1709,最新价:501.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:501,涨停价:551,跌停价:470,更新时间:09:00:12,毫秒数:471,平均价:511.001547467596,最新价与平均价距离:-9.50154746759648,成交量:642986,交易日:20170417 
09:00:14.453 DEBUG [7] 合约:i1709,最新价:501.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:500.5,涨停价:551,跌停价:470,更新时间:09:00:12,毫秒数:971,平均价:510.993530792062,最新价与平均价距离:-9.4935307920623,成交量:643510,交易日:20170417 
09:00:14.953 DEBUG [7] 合约:i1709,最新价:502,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:500.5,涨停价:551,跌停价:470,更新时间:09:00:13,毫秒数:467,平均价:510.983154352206,最新价与平均价距离:-8.98315435220633,成交量:644202,交易日:20170417 
09:00:15.449 DEBUG [7] 合约:i1709,最新价:501,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:500.5,涨停价:551,跌停价:470,更新时间:09:00:13,毫秒数:969,平均价:510.975561822153,最新价与平均价距离:-9.97556182215271,成交量:644688,交易日:20170417 
09:00:15.951 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:500,涨停价:551,跌停价:470,更新时间:09:00:14,毫秒数:460,平均价:510.952773796515,最新价与平均价距离:-10.952773796515,成交量:646082,交易日:20170417 
09:00:16.454 DEBUG [7] 合约:i1709,最新价:499,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:499,涨停价:551,跌停价:470,更新时间:09:00:14,毫秒数:961,平均价:510.882701523848,最新价与平均价距离:-11.8827015238483,成交量:650196,交易日:20170417 
09:00:16.956 DEBUG [7] 合约:i1709,最新价:499,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:498.5,涨停价:551,跌停价:470,更新时间:09:00:15,毫秒数:471,平均价:510.863835570161,最新价与平均价距离:-11.8638355701606,成交量:651220,交易日:20170417 
