09:21:00.926 DEBUG [7] 合约:i1709,最新价:550.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:20:57,毫秒数:347,平均价:550.239121706576,最新价与平均价距离:0.260878293424298,成交量:567874,交易日:20170328 
09:22:01.426 DEBUG [7] 合约:i1709,最新价:551.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:21:59,毫秒数:16,平均价:550.240169749667,最新价与平均价距离:1.25983025033327,成交量:568602,交易日:20170328 
09:23:00.928 DEBUG [7] 合约:i1709,最新价:550.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:22:59,毫秒数:560,平均价:550.243467159804,最新价与平均价距离:0.256532840196314,成交量:571038,交易日:20170328 
09:24:00.920 DEBUG [7] 合约:i1709,最新价:551.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:23:59,毫秒数:38,平均价:550.245998771001,最新价与平均价距离:1.25400122899873,成交量:572824,交易日:20170328 
09:25:01.928 DEBUG [7] 合约:i1709,最新价:551.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:24:59,毫秒数:982,平均价:550.247759289666,最新价与平均价距离:1.25224071033392,成交量:573702,交易日:20170328 
09:26:00.925 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:25:59,毫秒数:585,平均价:550.262156023654,最新价与平均价距离:2.23784397634574,成交量:577656,交易日:20170328 
09:27:01.334 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:26:59,毫秒数:523,平均价:550.273530992291,最新价与平均价距离:2.72646900770928,成交量:580596,交易日:20170328 
09:28:01.931 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:27:59,毫秒数:465,平均价:550.294732167259,最新价与平均价距离:2.70526783274113,成交量:585440,交易日:20170328 
09:29:01.930 DEBUG [7] 合约:i1709,最新价:552,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:28:59,毫秒数:948,平均价:550.302677902622,最新价与平均价距离:1.69732209737822,成交量:587400,交易日:20170328 
09:30:01.432 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:29:59,毫秒数:582,平均价:550.312154508767,最新价与平均价距离:2.18784549123347,成交量:589740,交易日:20170328 
09:31:01.426 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:30:59,毫秒数:574,平均价:550.323303331701,最新价与平均价距离:2.67669666829909,成交量:592190,交易日:20170328 
09:32:00.933 DEBUG [7] 合约:i1709,最新价:553.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:31:59,毫秒数:544,平均价:550.333599262132,最新价与平均价距离:3.16640073786823,成交量:594144,交易日:20170328 
09:33:00.932 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:32:59,毫秒数:575,平均价:550.346880172628,最新价与平均价距离:2.15311982737239,成交量:596892,交易日:20170328 
09:34:00.929 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:33:59,毫秒数:78,平均价:550.351745265193,最新价与平均价距离:2.64825473480732,成交量:598018,交易日:20170328 
09:35:00.933 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:34:59,毫秒数:80,平均价:550.360886713948,最新价与平均价距离:2.13911328605172,成交量:600374,交易日:20170328 
09:36:01.429 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:35:59,毫秒数:291,平均价:550.368426556711,最新价与平均价距离:2.13157344328908,成交量:602424,交易日:20170328 
09:37:01.929 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:36:59,毫秒数:80,平均价:550.3767937598,最新价与平均价距离:2.62320624020003,成交量:604596,交易日:20170328 
09:38:00.938 DEBUG [7] 合约:i1709,最新价:553.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:37:59,毫秒数:597,平均价:550.38400512174,最新价与平均价距离:3.1159948782597,成交量:606044,交易日:20170328 
09:39:01.936 DEBUG [7] 合约:i1709,最新价:553.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:38:57,毫秒数:3,平均价:550.415106785971,最新价与平均价距离:3.08489321402919,成交量:612440,交易日:20170328 
09:40:00.940 DEBUG [7] 合约:i1709,最新价:554.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:39:59,毫秒数:589,平均价:550.459530763397,最新价与平均价距离:4.04046923660303,成交量:619730,交易日:20170328 
09:41:01.437 DEBUG [7] 合约:i1709,最新价:554.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556,最低价:544,涨停价:602,跌停价:513,更新时间:09:40:58,毫秒数:564,平均价:550.481025213051,最新价与平均价距离:4.01897478694889,成交量:623090,交易日:20170328 
09:42:01.052 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556.5,最低价:544,涨停价:602,跌停价:513,更新时间:09:41:59,毫秒数:595,平均价:550.581873310073,最新价与平均价距离:5.41812668992657,成交量:636862,交易日:20170328 
09:43:01.439 DEBUG [7] 合约:i1709,最新价:555,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556.5,最低价:544,涨停价:602,跌停价:513,更新时间:09:42:59,毫秒数:591,平均价:550.640552166456,最新价与平均价距离:4.35944783354375,成交量:644878,交易日:20170328 
09:44:00.935 DEBUG [7] 合约:i1709,最新价:556.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556.5,最低价:544,涨停价:602,跌停价:513,更新时间:09:43:59,毫秒数:592,平均价:550.676542487685,最新价与平均价距离:5.82345751231526,成交量:649600,交易日:20170328 
09:45:01.441 DEBUG [7] 合约:i1709,最新价:555.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556.5,最低价:544,涨停价:602,跌停价:513,更新时间:09:44:59,毫秒数:548,平均价:550.746645757365,最新价与平均价距离:4.75335424263494,成交量:658718,交易日:20170328 
09:46:00.940 DEBUG [7] 合约:i1709,最新价:555.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556.5,最低价:544,涨停价:602,跌停价:513,更新时间:09:45:59,毫秒数:438,平均价:550.791023298241,最新价与平均价距离:4.70897670175907,成交量:664342,交易日:20170328 
09:47:01.942 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556.5,最低价:544,涨停价:602,跌停价:513,更新时间:09:46:59,毫秒数:518,平均价:550.826342274354,最新价与平均价距离:5.17365772564585,成交量:668902,交易日:20170328 
09:48:00.950 DEBUG [7] 合约:i1709,最新价:555.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:556.5,最低价:544,涨停价:602,跌停价:513,更新时间:09:47:59,毫秒数:530,平均价:550.850486973388,最新价与平均价距离:4.64951302661245,成交量:672316,交易日:20170328 
09:49:01.450 DEBUG [7] 合约:i1709,最新价:556.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:557,最低价:544,涨停价:602,跌停价:513,更新时间:09:48:59,毫秒数:577,平均价:550.917032556882,最新价与平均价距离:5.58296744311804,成交量:680532,交易日:20170328 
09:50:00.939 DEBUG [7] 合约:i1709,最新价:557.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:557.5,最低价:544,涨停价:602,跌停价:513,更新时间:09:49:59,毫秒数:599,平均价:550.985335867193,最新价与平均价距离:6.51466413280684,成交量:688278,交易日:20170328 
09:51:00.941 DEBUG [7] 合约:i1709,最新价:557.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:50:59,毫秒数:578,平均价:551.08595715451,最新价与平均价距离:6.41404284549003,成交量:698790,交易日:20170328 
09:52:00.945 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:51:59,毫秒数:587,平均价:551.143199642004,最新价与平均价距离:4.85680035799555,成交量:706154,交易日:20170328 
09:53:01.447 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:52:59,毫秒数:992,平均价:551.172992669921,最新价与平均价距离:4.82700733007869,成交量:710770,交易日:20170328 
09:54:01.441 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:53:59,毫秒数:584,平均价:551.216756669307,最新价与平均价距离:4.78324333069281,成交量:717016,交易日:20170328 
09:55:00.942 DEBUG [7] 合约:i1709,最新价:555.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:54:59,毫秒数:555,平均价:551.227820011242,最新价与平均价距离:4.27217998875835,成交量:718756,交易日:20170328 
09:56:01.942 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:55:59,毫秒数:592,平均价:551.250983638785,最新价与平均价距离:4.7490163612149,成交量:722318,交易日:20170328 
09:57:00.955 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:56:58,毫秒数:487,平均价:551.256322681453,最新价与平均价距离:4.74367731854693,成交量:723190,交易日:20170328 
09:58:00.947 DEBUG [7] 合约:i1709,最新价:556,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:57:58,毫秒数:323,平均价:551.264003931703,最新价与平均价距离:4.7359960682968,成交量:724368,交易日:20170328 
09:59:01.451 DEBUG [7] 合约:i1709,最新价:555.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:58:58,毫秒数:576,平均价:551.284225486854,最新价与平均价距离:4.2157745131459,成交量:727528,交易日:20170328 
10:00:00.950 DEBUG [7] 合约:i1709,最新价:555,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:09:59:59,毫秒数:575,平均价:551.316457264876,最新价与平均价距离:3.68354273512421,成交量:734314,交易日:20170328 
10:01:00.945 DEBUG [7] 合约:i1709,最新价:554,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:00:59,毫秒数:592,平均价:551.337728334577,最新价与平均价距离:2.66227166542296,成交量:739704,交易日:20170328 
10:02:01.358 DEBUG [7] 合约:i1709,最新价:553.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:01:59,毫秒数:580,平均价:551.350749718469,最新价与平均价距离:2.14925028153073,成交量:744146,交易日:20170328 
10:03:00.952 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:02:59,毫秒数:545,平均价:551.360166214918,最新价与平均价距离:1.63983378508192,成交量:747466,交易日:20170328 
10:04:00.947 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:03:59,毫秒数:505,平均价:551.372961832183,最新价与平均价距离:1.12703816781743,成交量:753986,交易日:20170328 
10:05:02.452 DEBUG [7] 合约:i1709,最新价:553.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:04:59,毫秒数:91,平均价:551.378811102508,最新价与平均价距离:2.12118889749229,成交量:756802,交易日:20170328 
10:06:00.949 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:05:59,毫秒数:418,平均价:551.38425457725,最新价与平均价距离:1.61574542275036,成交量:759408,交易日:20170328 
10:07:00.952 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:06:59,毫秒数:598,平均价:551.387784456285,最新价与平均价距离:1.11221554371502,成交量:761980,交易日:20170328 
10:08:00.951 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:07:58,毫秒数:59,平均价:551.391706376813,最新价与平均价距离:1.60829362318691,成交量:764708,交易日:20170328 
10:09:01.452 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:08:59,毫秒数:542,平均价:551.392346161186,最新价与平均价距离:1.10765383881403,成交量:765054,交易日:20170328 
10:10:01.454 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:09:58,毫秒数:572,平均价:551.395163666612,最新价与平均价距离:1.10483633338811,成交量:766986,交易日:20170328 
10:11:00.955 DEBUG [7] 合约:i1709,最新价:552,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:10:59,毫秒数:418,平均价:551.398426599723,最新价与平均价距离:0.601573400276948,成交量:771196,交易日:20170328 
10:12:01.955 DEBUG [7] 合约:i1709,最新价:552.5,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:11:57,毫秒数:578,平均价:551.401421952801,最新价与平均价距离:1.09857804719866,成交量:774006,交易日:20170328 
10:13:01.453 DEBUG [7] 合约:i1709,最新价:553,开盘价:550,昨结价:557.5,昨收价:549.5,最高价:558,最低价:544,涨停价:602,跌停价:513,更新时间:10:12:59,毫秒数:990,平均价:551.404373675991,最新价与平均价距离:1.59562632400923,成交量:776052,交易日:20170328 
