21:22:05.255 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:21:59,毫秒数:820,平均价:576.982917431193,最新价与平均价距离:-1.48291743119273,成交量:109000,交易日:20170327 
21:23:04.754 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:22:59,毫秒数:656,平均价:576.971758211927,最新价与平均价距离:-0.971758211926499,成交量:110510,交易日:20170327 
21:24:05.755 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:23:58,毫秒数:813,平均价:576.964105420117,最新价与平均价距离:-0.964105420117448,成交量:111326,交易日:20170327 
21:25:05.756 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:24:59,毫秒数:736,平均价:576.950334064099,最新价与平均价距离:0.0496659359014302,成交量:114948,交易日:20170327 
21:26:05.759 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:25:58,毫秒数:670,平均价:576.911586800188,最新价与平均价距离:-1.41158680018816,成交量:119032,交易日:20170327 
21:27:05.760 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:26:59,毫秒数:708,平均价:576.875758366495,最新价与平均价距离:-1.37575836649489,成交量:122632,交易日:20170327 
21:28:04.758 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:27:56,毫秒数:731,平均价:576.859163324152,最新价与平均价距离:-1.3591633241515,成交量:124158,交易日:20170327 
21:29:04.761 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:28:58,毫秒数:815,平均价:576.84642102084,最新价与平均价距离:-1.34642102083967,成交量:125818,交易日:20170327 
21:30:05.759 DEBUG [8] 合约:i1709,最新价:575.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:29:58,毫秒数:752,平均价:576.818058104451,最新价与平均价距离:-1.3180581044511,成交量:128596,交易日:20170327 
21:31:05.260 DEBUG [8] 合约:i1709,最新价:576,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:30:58,毫秒数:791,平均价:576.798010138458,最新价与平均价距离:-0.798010138458039,成交量:132170,交易日:20170327 
21:32:05.263 DEBUG [8] 合约:i1709,最新价:577.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:31:58,毫秒数:752,平均价:576.798802139353,最新价与平均价距离:0.701197860647426,成交量:135742,交易日:20170327 
21:33:07.762 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:32:59,毫秒数:37,平均价:576.803505893528,最新价与平均价距离:0.196494106472073,成交量:138966,交易日:20170327 
21:34:08.262 DEBUG [8] 合约:i1709,最新价:577,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:33:59,毫秒数:230,平均价:576.803364327494,最新价与平均价距离:0.196635672506204,成交量:139166,交易日:20170327 
21:35:07.771 DEBUG [8] 合约:i1709,最新价:577.5,开盘价:578,昨结价:580,昨收价:580.5,最高价:579.5,最低价:574.5,涨停价:626,跌停价:534,更新时间:21:34:59,毫秒数:315,平均价:576.805542141295,最新价与平均价距离:0.694457858705164,成交量:140812,交易日:20170327 
